,magnitude,depth
0,5.4,55.93
1,3.08,13.36
2,2.54,16.54
3,3.25,16.52
4,2.8,28.1
5,2.46,16.8
6,4.5,88.25
7,4.4,78.41
8,4.3,10.0
9,2.6,0.0
10,2.8,5.848779297
11,2.6,247.0
12,4.7,10.0
13,3.3,5.488867188
14,4.8,10.0
15,5.0,63.85
16,3.4,36.24
17,5.1,60.68
18,3.71,32.96
19,4.6,35.0
20,4.5,33.19
21,4.5,70.92
22,4.1,126.31
23,4.6,10.0
24,3.1,6.157275391
25,2.8,11.38
26,3.06,70.21
27,2.46,13.4
28,3.4,6.003027344
29,2.5,5.026123046999999
30,2.9,10.4
31,4.1,10.0
32,3.09,130.45
33,2.6,134.7
34,4.9,10.0
35,2.7,7.648339844
36,2.9,7.3
37,3.3,33.2
38,2.62,5.0
39,3.9,10.0
40,4.6,112.25
41,2.53,15.58
42,4.8,47.44
43,2.75,0.65
44,2.71,8.54
45,4.6,605.6
46,4.9,10.0
47,5.4,10.0
48,5.5,10.0
49,2.5,8.11
50,4.9,10.0
51,4.4,35.0
52,4.6,33.46
53,4.4,10.0
54,4.2,189.37
55,4.3,10.0
56,3.51,-0.79
57,2.54,-1.23000001907349
58,2.75,5.11
59,2.5,68.2
60,4.3,10.0
61,2.8,4.820458984
62,2.9,7.26
63,3.69,49.0
64,2.72,10.94
65,4.4,10.0
66,2.6,166.0
67,3.0,10.0
68,4.5,10.0
69,5.2,10.0
70,2.7,9.139404297
71,2.59,10.21
72,2.8,5.437451172
73,2.74,3.79
74,3.4,78.96
75,3.36,46.54
76,3.17,10.71
77,4.5,528.02
78,2.9,49.3
79,2.5,3.12
80,2.5,66.9
81,4.3,10.0
82,4.3,398.91
83,4.9,210.48
84,4.5,10.0
85,2.8,4.614794922
86,2.6,5.0
87,2.52,12.22
88,5.2,44.54
89,2.9,10.0
90,3.2,7.19
91,4.7,10.0
92,3.57,80.0
93,4.3,140.97
94,4.6,10.0
95,4.6,554.11
96,4.4,10.0
97,2.6,5.0
98,5.4,10.0
99,3.4,7.519799805
100,2.9,6.877099609
101,4.4,78.17
102,2.8,5.47
103,4.6,58.16
104,3.2,6.157275391
105,3.04,2.28
106,2.69,31.69
107,3.5,10.0
108,2.6,115.38
109,3.24,56.17
110,4.4,177.61
111,4.3,348.62
112,3.44,25.29
113,2.57,8.76
114,5.1,35.0
115,2.52,12.11
116,3.09,40.77
117,4.4,243.08
118,2.9,7.288427734
119,4.5,152.61
120,4.3,35.56
121,2.8,32.24
122,2.89,13.36
123,4.6,298.95
124,2.8,2.866650391
125,3.4,2.6
126,4.9,46.48
127,5.2,8.13
128,2.6,7.699755859
129,3.17,28.95
130,3.66,113.0
131,4.6,19.4
132,3.38,22.96
133,3.26,38.42
134,3.27,40.6
135,4.3,36.31
136,4.3,10.0
137,4.5,10.0
138,2.47,9.4
139,2.55,16.42
140,3.29,7.08
141,3.75,3.0
142,4.6,65.08
143,4.4,10.0
144,2.7,6.131567383
145,4.3,10.0
146,2.5,8.46
147,2.7,8.419580078
148,4.4,56.92
149,2.9,5.154663086
150,4.7,10.0
151,2.7,6.157275391
152,2.9,20.1
153,3.8,7.93112793
154,2.6,7.596923828000001
155,4.6,125.81
156,4.5,144.21
157,5.2,10.49
158,4.3,224.01
159,2.5,72.1
160,5.8,26.52
161,2.5,5.0
162,2.9,16.27
163,4.1,66.28
164,3.05,17.32
165,2.47,9.78
166,5.1,10.0
167,5.6,10.15
168,3.8,18.97
169,5.0,58.43
170,4.1,114.28
171,3.2,0.0
172,2.5,13.66
173,4.0,47.25
174,4.6,53.39
175,3.3,6.73
176,3.4,11.9
177,4.6,10.0
178,3.29,-0.46
179,2.7,6.568603515999999
180,4.8,10.0
181,5.4,10.0
182,3.5,16.23
183,2.9,176.1
184,4.7,10.0
185,5.1,10.0
186,4.7,10.0
187,4.3,10.0
188,3.8,20.91
189,2.82,31.83
190,2.59,-0.78
191,2.7,2.7
192,2.61,18.78
193,2.81,8.44
194,2.7,89.1
195,3.02,7.0
